AIRPORT,LAT,LNG
JFK,40.639751,-73.778925
BDL,41.938889,-72.683222
MSY,29.993389,-90.258028
CMH,39.997972,-82.891889
MIA,25.79325,-80.290556
ATL,33.636719,-84.428067
BOS,42.364347,-71.005181
OAK,37.721278,-122.220722
MSP,44.881956,-93.221767
BGR,44.807444,-68.828139
FLL,26.072583,-80.15275
DEN,39.861656,-104.673178
CVG,39.048836,-84.667822
SMF,38.695417,-121.590778
DTW,42.212444,-83.353389
EGE,39.642556,-106.917694
SAN,32.733556,-117.189667
SYR,43.111187,-76.106311
BUR,34.200667,-118.358667
ROC,43.118866,-77.672389
DCA,38.852083,-77.037722
STL,38.748697,-90.370028
SEA,47.449,-122.309306
CLE,41.411689,-81.849794
BWI,39.175361,-76.668333
RSW,26.536167,-81.755167
BUF,42.940525,-78.732167
RIC,37.505167,-77.319667
RDU,35.877639,-78.787472
IAH,29.984433,-95.341442
TPA,27.975472,-82.53325
PDX,45.588722,-122.5975
IAD,38.944533,-77.455811
DFW,32.896828,-97.037997
JAX,30.494056,-81.687861
ORF,36.894611,-76.201222
AUS,30.194528,-97.669889
HOU,29.645419,-95.278889
CLT,35.214,-80.943139
SJC,37.3626,-121.929022
BNA,36.124472,-86.678194
PBI,26.683161,-80.095589
SLC,40.788389,-111.977772
MCO,28.429394,-81.308994
BTV,44.471861,-73.153278
MCI,39.297606,-94.713905
PHL,39.871944,-75.241139
LGB,33.817722,-118.151611
PIT,40.491467,-80.232872
SRQ,27.395444,-82.554389
ALB,42.748267,-73.801692
SFO,37.618972,-122.374889
PHX,33.434278,-112.011583
LAX,33.942536,-118.408075
IND,39.717331,-86.294383
ORD,41.978603,-87.904842
PWM,43.646161,-70.309281
LAS,36.080056,-115.15225
GSP,34.895556,-82.218889
EWR,40.6925,-74.168667
FNT,42.965424,-83.743629
SIT,57.047138,-135.361611
KTN,55.355556,-131.71375
JNU,58.354972,-134.576278
GSO,36.09775,-79.937306
SAV,32.127583,-81.202139
CHS,32.898647,-80.040528
TLH,30.396528,-84.350333
MEM,35.042417,-89.976667
LGA,40.777245,-73.872608
SDF,38.1740858,-85.7364989
TYS,35.810972,-83.994028
MKE,42.947222,-87.896583
CAK,40.9160833,-81.4421944
PHF,37.131894,-76.492989
MDW,41.785972,-87.752417
LIH,21.975983,-159.338958
HNL,21.318681,-157.922428
OGG,20.89865,-156.430458
BGM,42.208689,-75.979839
LIT,34.729444,-92.224306
DAL,32.847111,-96.851778
BOI,43.564361,-116.222861
RNO,39.499108,-119.768108
GEG,47.619861,-117.533833
YUM,32.656578,-114.60598
IPL,32.834219,-115.578744
DRO,37.151516,-107.75377
CPR,42.908,-106.464417
AGS,33.369944,-81.9645
PIH,42.9098,-112.596
ELP,31.80725,-106.377583
SAT,29.533694,-98.469778
ABQ,35.0402222,-106.6091944
TUS,32.116083,-110.941028
PIA,40.664203,-89.693258
MYR,33.67975,-78.928333
SAF,35.617108,-106.089422
MSN,43.139858,-89.337514
HSV,34.6371944,-86.7750556
PVD,41.732581,-71.420383
GRR,42.880833,-85.522806
JAN,32.311167,-90.075889
DSM,41.533972,-93.663083
SPI,39.8441,-89.677889
LBB,33.663639,-101.822778
MQT,46.353611,-87.395278
GRB,44.485072,-88.129589
RAP,44.045278,-103.057222
MHT,42.932556,-71.435667
ISP,40.79525,-73.100222
BHM,33.562942,-86.75355
DAY,39.902375,-84.219375
OKC,35.393089,-97.600733
AMA,35.219369,-101.705931
HRL,26.2285,-97.654389
MEI,32.332624,-88.751868
CHA,35.035278,-85.203808
GPT,30.407278,-89.070111
SNA,33.675667,-117.868222
MAF,31.942528,-102.201914
CRP,27.770361,-97.501222
CRW,38.373147,-81.593189
AEX,31.3274,-92.549833
HDN,40.481181,-107.21766
MFE,26.175833,-98.238611
SHV,32.446629,-93.8256
LEX,38.0365,-84.605889
LRD,27.54375,-99.461556
BTR,30.533167,-91.149639
AVL,35.436194,-82.541806
MOB,30.691231,-88.242814
LCH,30.126112,-93.223335
COS,38.805805,-104.700778
XNA,36.2818694,-94.3068111
LFT,30.205278,-91.987611
OMA,41.303167,-95.894069
BRO,25.906833,-97.425861
TUL,36.198389,-95.888111
CAE,33.938833,-81.119528
VPS,30.48325,-86.5254
ONT,34.056,-117.601194
MTJ,38.509794,-107.894242
MLU,32.510864,-92.037689
ICT,37.649944,-97.433056
PNS,30.473425,-87.186611
ITO,19.721375,-155.048469
ROA,37.325472,-79.975417
SBP,35.2368,-120.642
FWA,40.978472,-85.195139
EYW,24.556111,-81.759556
WRG,56.4843,-132.37
PSG,56.801667,-132.945278
JAC,43.607333333,-110.73775
LAN,42.7787,-84.587357
OME,64.512203,-165.445247
OTZ,66.884678,-162.59855
ANC,61.174361,-149.996361
YAK,59.3012,-139.3937
MRY,36.587,-121.842944
FAT,36.776194,-119.71814
TEX,37.953759,-107.90848
KOA,19.738767,-156.045631
GJT,39.122413,-108.526735
BFL,35.433598,-119.05677
SBA,34.426211,-119.840372
PSP,33.829667,-116.506694
FLG,35.140318,-111.6692392
SMX,34.8989,-120.457
IYK,35.658889,-117.829444
ASE,39.2232,-106.869
OXR,34.200833,-119.207222
CLD,33.0742,-117.1648
BQK,31.2588,-81.4665
BIS,46.775842,-100.757931
TXK,33.453722,-93.991028
BMI,40.477111,-88.915917
ILM,34.270615,-77.902569
RKS,41.5942,-109.065
GCC,44.3489167,-105.5393611
CHO,38.138639,-78.452861
RDM,44.254066,-121.149964
BTM,45.954806,-112.497472
HPN,41.066959,-73.707575
